traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
202,P0202.BIN,3,22,绿豆,白芸豆,黄豆,⑤号位,⑧号位,⑥号位,④号位,⑦号位
203,P0203.BIN,3,23,绿豆,白芸豆,黄豆,⑤号位,⑧号位,⑦号位,④号位,⑥号位
204,P0204.BIN,3,24,绿豆,白芸豆,黄豆,⑥号位,④号位,⑤号位,⑦号位,⑧号位
205,P0205.BIN,3,25,绿豆,白芸豆,黄豆,⑥号位,④号位,⑦号位,⑤号位,⑧号位
206,P0206.BIN,3,26,绿豆,白芸豆,黄豆,⑥号位,④号位,⑧号位,⑤号位,⑦号位
207,P0207.BIN,3,27,绿豆,白芸豆,黄豆,⑥号位,⑤号位,④号位,⑦号位,⑧号位
208,P0208.BIN,3,28,绿豆,白芸豆,黄豆,⑥号位,⑤号位,⑦号位,④号位,⑧号位
209,P0209.BIN,3,29,绿豆,白芸豆,黄豆,⑥号位,⑤号位,⑧号位,④号位,⑦号位
210,P0210.BIN,3,30,绿豆,白芸豆,黄豆,⑥号位,⑦号位,④号位,⑤号位,⑧号位
211,P0211.BIN,3,31,绿豆,白芸豆,黄豆,⑥号位,⑦号位,⑤号位,④号位,⑧号位
212,P0212.BIN,3,32,绿豆,白芸豆,黄豆,⑥号位,⑦号位,⑧号位,④号位,⑤号位
213,P0213.BIN,3,33,绿豆,白芸豆,黄豆,⑥号位,⑧号位,④号位,⑤号位,⑦号位
214,P0214.BIN,3,34,绿豆,白芸豆,黄豆,⑥号位,⑧号位,⑤号位,④号位,⑦号位
215,P0215.BIN,3,35,绿豆,白芸豆,黄豆,⑥号位,⑧号位,⑦号位,④号位,⑤号位
216,P0216.BIN,3,36,绿豆,白芸豆,黄豆,⑦号位,④号位,⑤号位,⑥号位,⑧号位
217,P0217.BIN,3,37,绿豆,白芸豆,黄豆,⑦号位,④号位,⑥号位,⑤号位,⑧号位
218,P0218.BIN,3,38,绿豆,白芸豆,黄豆,⑦号位,④号位,⑧号位,⑤号位,⑥号位
